id,CV
MINDDS_CARD_001,0.0
MINDDS_CARD_002,2.0
MINDDS_CARD_004,1.0
MINDDS_CARD_007,8.0
MINDDS_CARD_009,6.0
MINDDS_CARD_011,2.0
MINDDS_CARD_013,2.0
MINDDS_CARD_016,9.0
MINDDS_CARD_018,4.0
MINDDS_CARD_019,2.0
MINDDS_CARD_020,7.0
MINDDS_CARD_021,1.0
MINDDS_CARD_022,7.0
MINDDS_CARD_024,8.0
MINDDS_CARD_025,8.0
MINDDS_CARD_027,0.0
MINDDS_CARD_029,1.0
MINDDS_CARD_031,7.0
MINDDS_CARD_033,4.0
MINDDS_CARD_034,6.0
MINDDS_CARD_035,2.0
MINDDS_CARD_036,1.0
MINDDS_CARD_037,1.0
MINDDS_CARD_038,5.0
MINDDS_CARD_040,7.0
MINDDS_CARD_041,3.0
MINDDS_CARD_042,2.0
MINDDS_CARD_043,8.0
MINDDS_CARD_044,6.0
MINDDS_CARD_045,6.0
MINDDS_CARD_046,0.0
MINDDS_CARD_047,2.0
MINDDS_CARD_048,9.0
MINDDS_CARD_049,8.0
MINDDS_CARD_051,1.0
MINDDS_CARD_052,0.0
MINDDS_CARD_053,3.0
MINDDS_CARD_054,8.0
MINDDS_CARD_055,0.0
MINDDS_CARD_057,6.0
MINDDS_CARD_059,8.0
MINDDS_CARD_061,5.0
MINDDS_CARD_062,6.0
MINDDS_CARD_063,4.0
MINDDS_CARD_065,6.0
MINDDS_CARD_066,5.0
MINDDS_CARD_068,7.0
MINDDS_CARD_070,1.0
MINDDS_CARD_071,0.0
MINDDS_CARD_072,8.0
MINDDS_CARD_073,6.0
MINDDS_CARD_074,9.0
MINDDS_CARD_075,7.0
MINDDS_CARD_076,5.0
MINDDS_CARD_078,3.0
MINDDS_CARD_079,3.0
MINDDS_CARD_080,5.0
MINDDS_CARD_085,2.0
MINDDS_CARD_086,9.0
MINDDS_CARD_089,7.0
MINDDS_CARD_090,7.0
MINDDS_CARD_091,9.0
MINDDS_CARD_094,2.0
MINDDS_CARD_095,9.0
MINDDS_CARD_096,9.0
MINDDS_CARD_097,8.0
MINDDS_CARD_099,8.0
MINDDS_CARD_101,7.0
MINDDS_CARD_103,5.0
MINDDS_CARD_105,2.0
MINDDS_CARD_107,6.0
MINDDS_CARD_108,0.0
MINDDS_CARD_109,7.0
MINDDS_CARD_116,0.0
MINDDS_CARD_118,0.0
MINDDS_CARD_119,4.0
MINDDS_CARD_120,5.0
MINDDS_CARD_122,3.0
MINDDS_CARD_123,5.0
MINDDS_CARD_124,6.0
MINDDS_CARD_126,9.0
MINDDS_CARD_127,5.0
MINDDS_CARD_133,1.0
MINDDS_CARD_135,1.0
MINDDS_CARD_137,8.0
MINDDS_CARD_138,7.0
MINDDS_CARD_139,8.0
MINDDS_CARD_140,8.0
MINDDS_CARD_141,2.0
MINDDS_CARD_143,9.0
MINDDS_CARD_144,5.0
MINDDS_CARD_145,3.0
MINDDS_CARD_146,1.0
MINDDS_CARD_147,5.0
MINDDS_CARD_150,3.0
MINDDS_CARD_155,2.0
MINDDS_CARD_156,5.0
MINDDS_CARD_157,4.0
MINDDS_CARD_159,7.0
MINDDS_CARD_163,4.0
MINDDS_CARD_165,9.0
MINDDS_CARD_167,8.0
MINDDS_CARD_168,7.0
MINDDS_CARD_170,4.0
MINDDS_CARD_171,4.0
MINDDS_CARD_172,4.0
MINDDS_CARD_174,3.0
MINDDS_CARD_176,1.0
MINDDS_CARD_177,0.0
MINDDS_CARD_180,3.0
MINDDS_CARD_182,9.0
MINDDS_CARD_183,1.0
MINDDS_CARD_186,8.0
MINDDS_CARD_189,0.0
MINDDS_CARD_190,8.0
MINDDS_CARD_191,8.0
MINDDS_CARD_192,9.0
MINDDS_CARD_193,4.0
MINDDS_CARD_194,6.0
MINDDS_CARD_195,5.0
MINDDS_CARD_196,0.0
MINDDS_CARD_197,3.0
MINDDS_CARD_198,1.0
MINDDS_CARD_199,5.0
MINDDS_CARD_200,3.0
MINDDS_CARD_202,4.0
MINDDS_CARD_205,3.0
MINDDS_CARD_206,3.0
MINDDS_CARD_207,9.0
MINDDS_CARD_208,7.0
MINDDS_CARD_209,2.0
MINDDS_CARD_211,9.0
MINDDS_CARD_212,6.0
MINDDS_CARD_213,0.0
MINDDS_CARD_214,6.0
MINDDS_CARD_216,9.0
MINDDS_CARD_218,0.0
MINDDS_CARD_219,4.0
MINDDS_CARD_221,8.0
MINDDS_CARD_222,0.0
MINDDS_CARD_225,9.0
MINDDS_CARD_226,2.0
MINDDS_CARD_228,7.0
MINDDS_CARD_230,9.0
MINDDS_CARD_232,4.0
MINDDS_CARD_233,4.0
MINDDS_CARD_234,4.0
MINDDS_CARD_235,3.0
MINDDS_CARD_236,7.0
MINDDS_CARD_237,0.0
MINDDS_CARD_240,8.0
MINDDS_CARD_241,0.0
MINDDS_CARD_242,6.0
MINDDS_CARD_243,1.0
MINDDS_CARD_244,0.0
MINDDS_CARD_245,8.0
MINDDS_CARD_246,4.0
MINDDS_CARD_247,5.0
MINDDS_CARD_249,5.0
MINDDS_CARD_252,0.0
MINDDS_CARD_255,5.0
MINDDS_CARD_256,0.0
MINDDS_CARD_257,8.0
MINDDS_CARD_258,1.0
MINDDS_CARD_259,8.0
MINDDS_CARD_262,1.0
MINDDS_CARD_264,2.0
MINDDS_CARD_265,2.0
MINDDS_CARD_266,0.0
MINDDS_CARD_267,7.0
MINDDS_CARD_269,5.0
MINDDS_CARD_270,9.0
MINDDS_CARD_271,2.0
MINDDS_CARD_272,1.0
MINDDS_CARD_273,6.0
MINDDS_CARD_275,2.0
MINDDS_CARD_276,1.0
MINDDS_CARD_277,6.0
MINDDS_CARD_278,5.0
MINDDS_CARD_280,4.0
MINDDS_CARD_281,9.0
MINDDS_CARD_282,4.0
MINDDS_CARD_289,2.0
MINDDS_CARD_290,4.0
MINDDS_CARD_292,6.0
MINDDS_CARD_294,4.0
MINDDS_CARD_296,1.0
MINDDS_CARD_297,4.0
MINDDS_CARD_298,8.0
MINDDS_CARD_301,1.0
MINDDS_CARD_302,9.0
MINDDS_CARD_303,8.0
MINDDS_CARD_304,5.0
MINDDS_CARD_305,8.0
MINDDS_CARD_306,7.0
MINDDS_CARD_307,2.0
MINDDS_CARD_310,3.0
MINDDS_CARD_311,3.0
MINDDS_CARD_312,0.0
MINDDS_CARD_314,3.0
MINDDS_CARD_315,7.0
MINDDS_CARD_316,7.0
MINDDS_CARD_318,3.0
MINDDS_CARD_321,6.0
MINDDS_CARD_322,9.0
MINDDS_CARD_324,5.0
MINDDS_CARD_325,4.0
MINDDS_CARD_326,2.0
MINDDS_CARD_327,6.0
MINDDS_CARD_328,6.0
MINDDS_CARD_331,6.0
MINDDS_CARD_332,7.0
MINDDS_CARD_333,2.0
MINDDS_CARD_334,6.0
MINDDS_CARD_335,8.0
MINDDS_CARD_336,6.0
MINDDS_CARD_337,9.0
MINDDS_CARD_339,9.0
MINDDS_CARD_341,3.0
MINDDS_CARD_343,7.0
MINDDS_CARD_345,5.0
MINDDS_CARD_350,8.0
MINDDS_CARD_352,8.0
MINDDS_CARD_353,3.0
MINDDS_CARD_354,4.0
MINDDS_CARD_355,0.0
MINDDS_CARD_356,4.0
MINDDS_CARD_358,2.0
MINDDS_CARD_359,6.0
MINDDS_CARD_360,0.0
MINDDS_CARD_362,2.0
MINDDS_CARD_363,5.0
MINDDS_CARD_365,6.0
MINDDS_CARD_366,1.0
MINDDS_CARD_368,2.0
MINDDS_CARD_369,3.0
MINDDS_CARD_370,8.0
MINDDS_CARD_371,2.0
MINDDS_CARD_375,3.0
MINDDS_CARD_376,1.0
MINDDS_CARD_377,5.0
MINDDS_CARD_378,3.0
MINDDS_CARD_382,6.0
MINDDS_NCARD_002,7.0
MINDDS_NCARD_005,2.0
MINDDS_NCARD_006,4.0
MINDDS_NCARD_008,9.0
MINDDS_NCARD_012,2.0
MINDDS_NCARD_016,8.0
MINDDS_NCARD_017,5.0
MINDDS_NCARD_019,5.0
MINDDS_NCARD_020,3.0
MINDDS_NCARD_021,1.0
MINDDS_NCARD_022,7.0
MINDDS_NCARD_023,1.0
MINDDS_NCARD_024,9.0
MINDDS_NCARD_025,5.0
MINDDS_NCARD_027,0.0
MINDDS_NCARD_028,6.0
MINDDS_NCARD_029,4.0
MINDDS_NCARD_030,7.0
MINDDS_NCARD_031,3.0
MINDDS_NCARD_032,9.0
MINDDS_NCARD_033,1.0
MINDDS_NCARD_036,3.0
MINDDS_NCARD_037,9.0
MINDDS_NCARD_038,7.0
MINDDS_NCARD_039,5.0
MINDDS_NCARD_042,0.0
MINDDS_NCARD_043,4.0
MINDDS_NCARD_044,1.0
MINDDS_NCARD_045,3.0
MINDDS_NCARD_046,1.0
MINDDS_NCARD_047,2.0
MINDDS_NCARD_048,6.0
MINDDS_NCARD_049,9.0
MINDDS_NCARD_050,7.0
MINDDS_NCARD_051,5.0
MINDDS_NCARD_052,1.0
MINDDS_NCARD_053,1.0
MINDDS_NCARD_054,0.0
MINDDS_NCARD_055,7.0
MINDDS_NCARD_056,3.0
MINDDS_NCARD_057,3.0
MINDDS_NCARD_058,6.0
MINDDS_NCARD_061,3.0
MINDDS_NCARD_062,0.0
MINDDS_NCARD_063,4.0
MINDDS_NCARD_065,5.0
MINDDS_NCARD_066,0.0
MINDDS_NCARD_069,9.0
MINDDS_NCARD_070,2.0
MINDDS_NCARD_072,5.0
MINDDS_NCARD_073,9.0
MINDDS_NCARD_074,1.0
MINDDS_NCARD_075,4.0
MINDDS_NCARD_076,7.0
MINDDS_NCARD_077,0.0
MINDDS_NCARD_078,4.0
MINDDS_NCARD_079,4.0
MINDDS_NCARD_080,2.0
MINDDS_NCARD_081,0.0
MINDDS_NCARD_082,7.0
MINDDS_NCARD_083,3.0
MINDDS_NCARD_084,1.0
MINDDS_NCARD_085,6.0
