,Val,LB,UB
AUROC,0.5602209944751381,0.49452957344829834,0.6280280817205031
AUPRC,0.46831010656713185,0.3920536954207237,0.5665438502108242
min-distance-to-perfect:Accuracy,0.5947712418300654,0.5391339869281045,0.6503267973856209
min-distance-to-perfect:F1,0.48333333333333334,0.4018680920069987,0.5590705097048054
min-distance-to-perfect:MCC,0.15130610216711135,0.039217001357653845,0.26762867292651166
min-distance-to-perfect:Sensitivity,0.464,0.38016528925619836,0.5511946782514254
min-distance-to-perfect:Specificity,0.6850828729281768,0.6153743315508021,0.7540128868238801
min-distance-to-perfect:PPV,0.5043478260869565,0.40980755523877405,0.5966480622099586
min-distance-to-perfect:NPV,0.6492146596858639,0.5807956508086042,0.7164969127294779
Youden:Accuracy,0.6078431372549019,0.5490196078431373,0.6601307189542484
Youden:F1,0.4594594594594595,0.37623535289308746,0.5409884281581485
Youden:MCC,0.16253643097779552,0.05093513240253716,0.2818056444656034
Youden:Sensitivity,0.408,0.3257437176644494,0.49291889185580773
Youden:Specificity,0.7458563535911602,0.6825282135975778,0.8081546257466006
Youden:PPV,0.5257731958762887,0.42696629213483145,0.6292331460674156
Youden:NPV,0.645933014354067,0.5784684292181157,0.711642087351106
sens80:Accuracy,0.4738562091503268,0.418218954248366,0.5326797385620915
sens80:F1,0.5564738292011019,0.49109399246286856,0.6153947368421053
sens80:MCC,0.06041163715468693,-0.04918179517756195,0.16473978617626
sens80:Sensitivity,0.808,0.739720271670312,0.8692391304347826
sens80:Specificity,0.2430939226519337,0.17918466686948584,0.3051383500102103
sens80:PPV,0.42436974789915966,0.35968379446640314,0.4897140337616528
sens80:NPV,0.6470588235294118,0.5300817555938039,0.7611940298507462
sens90:Accuracy,0.4215686274509804,0.369281045751634,0.4803921568627451
sens90:F1,0.5607940446650124,0.49612301900540406,0.616123521833157
sens90:MCC,-0.012960827764195841,-0.12829311837012217,0.09495989208197306
sens90:Sensitivity,0.904,0.8454911613336318,0.9504333803668615
sens90:Specificity,0.08839779005524862,0.05084031613026091,0.13116226563266908
sens90:PPV,0.4064748201438849,0.34532054072044854,0.4635102612927113
sens90:NPV,0.5714285714285714,0.38461538461538464,0.75
spec80:Accuracy,0.5947712418300654,0.5326797385620915,0.6503267973856209
spec80:F1,0.3673469387755102,0.28282563858480086,0.44934974601100264
spec80:MCC,0.11019433487119842,-0.009593091504777263,0.22186035031395668
spec80:Sensitivity,0.288,0.21322848583877996,0.36843183779119926
spec80:Specificity,0.8066298342541437,0.7456621746417211,0.86530089443367
spec80:PPV,0.5070422535211268,0.3905996347402597,0.625
spec80:NPV,0.6212765957446809,0.5570051487414187,0.6846771380310652
spec90:Accuracy,0.5980392156862745,0.5424836601307189,0.6536764705882352
spec90:F1,0.22641509433962265,0.14007247968372502,0.3087486468932669
spec90:MCC,0.08696859152361966,-0.03281981732409755,0.1960003341440587
spec90:Sensitivity,0.144,0.08525491949910555,0.20714446589446592
spec90:Specificity,0.9116022099447514,0.8638866396761133,0.9502830732803108
spec90:PPV,0.5294117647058824,0.35294117647058826,0.6945833333333332
spec90:NPV,0.6066176470588235,0.550346106878335,0.6654848484848485
