,Val,LB,UB
AUROC,0.5433370165745857,0.4780128349068354,0.6087403553689028
AUPRC,0.4384598417611771,0.367626069772112,0.52387375964853
min-distance-to-perfect:Accuracy,0.565359477124183,0.5065359477124183,0.6241830065359477
min-distance-to-perfect:F1,0.50187265917603,0.420276435856146,0.572600965759438
min-distance-to-perfect:MCC,0.11989140215999618,0.005758461197199765,0.23832400622726985
min-distance-to-perfect:Sensitivity,0.536,0.44442204301075267,0.6241356382978723
min-distance-to-perfect:Specificity,0.585635359116022,0.5156041974852071,0.6589690656164644
min-distance-to-perfect:PPV,0.47183098591549294,0.385699806949807,0.55042101042502
min-distance-to-perfect:NPV,0.6463414634146342,0.5696950517836594,0.7205489881787217
Youden:Accuracy,0.565359477124183,0.5065359477124183,0.6241830065359477
Youden:F1,0.50187265917603,0.420276435856146,0.572600965759438
Youden:MCC,0.11989140215999618,0.005758461197199765,0.23832400622726985
Youden:Sensitivity,0.536,0.44442204301075267,0.6241356382978723
Youden:Specificity,0.585635359116022,0.5156041974852071,0.6589690656164644
Youden:PPV,0.47183098591549294,0.385699806949807,0.55042101042502
Youden:NPV,0.6463414634146342,0.5696950517836594,0.7205489881787217
sens80:Accuracy,0.4477124183006536,0.39215686274509803,0.5065359477124183
sens80:F1,0.546916890080429,0.48218684779721477,0.6057441253263708
sens80:MCC,0.011751727969530766,-0.09901161575247328,0.13163192197622858
sens80:Sensitivity,0.816,0.7459016393442623,0.8819013432144511
sens80:Specificity,0.19337016574585636,0.13901453600023636,0.25
sens80:PPV,0.4112903225806452,0.34883476646472544,0.47265992743200835
sens80:NPV,0.603448275862069,0.47823616600790514,0.7322216386554621
sens90:Accuracy,0.4411764705882353,0.38562091503267976,0.5
sens90:F1,0.5714285714285714,0.5093784523583346,0.6280366623618884
sens90:MCC,0.04501369804912623,-0.06340592407526639,0.15397091936970173
sens90:Sensitivity,0.912,0.8606509721692718,0.957983193277311
sens90:Specificity,0.11602209944751381,0.0718232044198895,0.16666666666666666
sens90:PPV,0.41605839416058393,0.3566112967914439,0.4767252447440218
sens90:NPV,0.65625,0.4827586206896552,0.8148391812865496
spec80:Accuracy,0.5522875816993464,0.4933823529411765,0.6111111111111112
spec80:F1,0.2594594594594595,0.17388954171562868,0.34121848739495797
spec80:MCC,-0.008536643116827775,-0.12563775752952214,0.10379969681951023
spec80:Sensitivity,0.192,0.12398366767264335,0.2619360902255639
spec80:Specificity,0.8011049723756906,0.7437120155752585,0.856373322809787
spec80:PPV,0.4,0.2714285714285714,0.5294117647058824
spec80:NPV,0.5894308943089431,0.5263105051786091,0.6521918792669781
spec90:Accuracy,0.5751633986928104,0.5196078431372549,0.6339869281045751
spec90:F1,0.16666666666666666,0.08447769953051643,0.24490454246214613
spec90:MCC,0.007416444258317008,-0.1043209603571283,0.12138255708521645
spec90:Sensitivity,0.104,0.049579501804213714,0.1590959372485921
spec90:Specificity,0.9005524861878453,0.8546485200845666,0.9421965317919075
spec90:PPV,0.41935483870967744,0.2413793103448276,0.5947297297297296
spec90:NPV,0.5927272727272728,0.5340781886024423,0.6545550576184379
