,Val,LB,UB
AUROC,0.5234917127071823,0.45798315432578895,0.5881441824675689
AUPRC,0.4220459619698018,0.35280170581732756,0.5002582636580557
min-distance-to-perfect:Accuracy,0.5620915032679739,0.5098039215686274,0.6144607843137254
min-distance-to-perfect:F1,0.5144927536231884,0.44011712190150853,0.5853745644599303
min-distance-to-perfect:MCC,0.12389352244298193,0.015658543323866066,0.23425891405009192
min-distance-to-perfect:Sensitivity,0.568,0.4796747967479675,0.6544117647058824
min-distance-to-perfect:Specificity,0.5580110497237569,0.48875082617316584,0.6272329059829059
min-distance-to-perfect:PPV,0.47019867549668876,0.3910017730496454,0.5483870967741935
min-distance-to-perfect:NPV,0.6516129032258065,0.574983108108108,0.7241434571175951
Youden:Accuracy,0.5620915032679739,0.5098039215686274,0.6144607843137254
Youden:F1,0.5144927536231884,0.44011712190150853,0.5853745644599303
Youden:MCC,0.12389352244298193,0.015658543323866066,0.23425891405009192
Youden:Sensitivity,0.568,0.4796747967479675,0.6544117647058824
Youden:Specificity,0.5580110497237569,0.48875082617316584,0.6272329059829059
Youden:PPV,0.47019867549668876,0.3910017730496454,0.5483870967741935
Youden:NPV,0.6516129032258065,0.574983108108108,0.7241434571175951
sens80:Accuracy,0.41830065359477125,0.3660130718954248,0.477124183006536
sens80:F1,0.5364583333333334,0.47695845862568215,0.5965976566221065
sens80:MCC,-0.05164017638253659,-0.16349459539808045,0.059505006379160064
sens80:Sensitivity,0.824,0.7558967629046369,0.8872375939849624
sens80:Specificity,0.13812154696132597,0.0903131933777095,0.1907730781212142
sens80:PPV,0.39768339768339767,0.33953282059092293,0.46
sens80:NPV,0.5319148936170213,0.3901468957871397,0.6666666666666666
sens90:Accuracy,0.41830065359477125,0.3627450980392157,0.4738562091503268
sens90:F1,0.5637254901960784,0.5049876942008922,0.619430120984564
sens90:MCC,-0.015244749718029048,-0.13056080587111807,0.0882845300261488
sens90:Sensitivity,0.92,0.8661417322834646,0.9618338785896038
sens90:Specificity,0.0718232044198895,0.03684129803035195,0.11001315789473683
sens90:PPV,0.40636042402826855,0.34871256313362925,0.46319242254572596
sens90:NPV,0.5652173913043478,0.35294117647058826,0.758655172413793
spec80:Accuracy,0.5490196078431373,0.49673202614379086,0.6045751633986928
spec80:F1,0.25,0.16989975765587134,0.3350253807106599
spec80:MCC,-0.018559280023782838,-0.11684974883278529,0.09088675459687677
spec80:Sensitivity,0.184,0.12096078976640712,0.2578188004032258
spec80:Specificity,0.8011049723756906,0.7455621301775148,0.8587088433938371
spec80:PPV,0.3898305084745763,0.2727272727272727,0.5166810344827587
spec80:NPV,0.5870445344129555,0.5271966527196653,0.6494074881576057
spec90:Accuracy,0.5620915032679739,0.506454248366013,0.6177287581699346
spec90:F1,0.0821917808219178,0.026311489508083933,0.14816066066066064
spec90:MCC,-0.06780326882538287,-0.16535431835408362,0.039767358065097375
spec90:Sensitivity,0.048,0.014703198797767282,0.08956753119647662
spec90:Specificity,0.9171270718232044,0.8757054512139258,0.9560499609679938
spec90:PPV,0.2857142857142857,0.09523809523809523,0.5
spec90:NPV,0.5824561403508772,0.5244755244755245,0.6396076991987258
