,Val,LB,UB
AUROC,0.6269613259668508,0.5594648357477143,0.6890795863372473
AUPRC,0.5397188287870178,0.4484087449911019,0.6336511402321632
min-distance-to-perfect:Accuracy,0.5915032679738562,0.5359477124183006,0.6470588235294118
min-distance-to-perfect:F1,0.5791245791245792,0.5018162812796959,0.6470635827146393
min-distance-to-perfect:MCC,0.2108995056129794,0.09748989756012164,0.32183786371736683
min-distance-to-perfect:Sensitivity,0.688,0.5982142857142857,0.7692307692307693
min-distance-to-perfect:Specificity,0.5248618784530387,0.44790659530386745,0.5988983050847457
min-distance-to-perfect:PPV,0.5,0.42258727929373996,0.576287483702738
min-distance-to-perfect:NPV,0.7089552238805971,0.6259908536585366,0.7862208417849899
Youden:Accuracy,0.5915032679738562,0.5359477124183006,0.6470588235294118
Youden:F1,0.5791245791245792,0.5018162812796959,0.6470635827146393
Youden:MCC,0.2108995056129794,0.09748989756012164,0.32183786371736683
Youden:Sensitivity,0.688,0.5982142857142857,0.7692307692307693
Youden:Specificity,0.5248618784530387,0.44790659530386745,0.5988983050847457
Youden:PPV,0.5,0.42258727929373996,0.576287483702738
Youden:NPV,0.7089552238805971,0.6259908536585366,0.7862208417849899
sens80:Accuracy,0.5555555555555556,0.5,0.6143790849673203
sens80:F1,0.6,0.5372123336929162,0.6629534157189245
sens80:MCC,0.20613664439845888,0.09302311115957643,0.3117387939154403
sens80:Sensitivity,0.816,0.7368421052631579,0.8823644301470588
sens80:Specificity,0.3756906077348066,0.30479560615248913,0.44974206349206347
sens80:PPV,0.4744186046511628,0.4084029880215875,0.5420659936519132
sens80:NPV,0.7472527472527473,0.6511627906976745,0.8316228070175439
sens90:Accuracy,0.49019607843137253,0.43137254901960786,0.5458333333333332
sens90:F1,0.59375,0.5333333333333333,0.6535872235872235
sens90:MCC,0.15118460040114853,0.039090934454362514,0.24816047260109733
sens90:Sensitivity,0.912,0.859504132231405,0.9558904036066982
sens90:Specificity,0.19889502762430938,0.13888487475915223,0.2590519536710377
sens90:PPV,0.44015444015444016,0.37965558581493103,0.5039205792014041
sens90:NPV,0.7659574468085106,0.641,0.8781213704994192
spec80:Accuracy,0.6045751633986928,0.5490196078431373,0.6568627450980392
spec80:F1,0.39800995024875624,0.30927835051546393,0.4792709019091507
spec80:MCC,0.13777980150192667,0.01733765729535463,0.25246852987803076
spec80:Sensitivity,0.32,0.23845238095238097,0.39857481819302343
spec80:Specificity,0.8011049723756906,0.7419111931597357,0.8601036269430051
spec80:PPV,0.5263157894736842,0.39992063492063495,0.6500198412698412
spec80:NPV,0.6304347826086957,0.5695637551179568,0.691304347826087
spec90:Accuracy,0.6143790849673203,0.5620098039215686,0.6699346405228758
spec90:F1,0.2891566265060241,0.1910828025477707,0.3742872807017544
spec90:MCC,0.141529881474287,0.0207718538911949,0.25539954022245254
spec90:Sensitivity,0.192,0.12118933697881067,0.2627118644067797
spec90:Specificity,0.9060773480662984,0.8603180437126335,0.9476872213519701
spec90:PPV,0.5853658536585366,0.42490131578947365,0.7353079911209768
spec90:NPV,0.6188679245283019,0.5624941037735849,0.6800112781954888
