,Val,LB,UB
AUROC,0.5588950276243094,0.48828316717558734,0.6257193595195232
AUPRC,0.48746554587281865,0.4106257603136519,0.5767655356762756
min-distance-to-perfect:Accuracy,0.5849673202614379,0.5326797385620915,0.6405228758169934
min-distance-to-perfect:F1,0.4686192468619247,0.38594881699662,0.5411928755565971
min-distance-to-perfect:MCC,0.1296877611125221,0.019522237375454287,0.2412194504697095
min-distance-to-perfect:Sensitivity,0.448,0.35877862595419846,0.5298507462686567
min-distance-to-perfect:Specificity,0.6795580110497238,0.6137501217255819,0.747341607108364
min-distance-to-perfect:PPV,0.49122807017543857,0.4,0.5798450630252101
min-distance-to-perfect:NPV,0.640625,0.570689393939394,0.7076923076923077
Youden:Accuracy,0.5849673202614379,0.5326797385620915,0.6405228758169934
Youden:F1,0.4686192468619247,0.38594881699662,0.5411928755565971
Youden:MCC,0.1296877611125221,0.019522237375454287,0.2412194504697095
Youden:Sensitivity,0.448,0.35877862595419846,0.5298507462686567
Youden:Specificity,0.6795580110497238,0.6137501217255819,0.747341607108364
Youden:PPV,0.49122807017543857,0.4,0.5798450630252101
Youden:NPV,0.640625,0.570689393939394,0.7076923076923077
sens80:Accuracy,0.47058823529411764,0.418218954248366,0.5326797385620915
sens80:F1,0.554945054945055,0.4904551560041448,0.6162204482871777
sens80:MCC,0.05416615641647607,-0.056636095435475445,0.16844582038708725
sens80:Sensitivity,0.808,0.7387784438463421,0.8739495798319328
sens80:Specificity,0.23756906077348067,0.17613636363636365,0.3048985846076077
sens80:PPV,0.4225941422594142,0.35775082538517977,0.4870771153288902
sens80:NPV,0.6417910447761194,0.5151515151515151,0.7536231884057971
sens90:Accuracy,0.45751633986928103,0.4019607843137255,0.5130718954248366
sens90:F1,0.576530612244898,0.5156110873287671,0.6302863001814023
sens90:MCC,0.07837605489186278,-0.03152730599493567,0.18057271220569515
sens90:Sensitivity,0.904,0.8490486760742033,0.9504233843652622
sens90:Specificity,0.14917127071823205,0.09998618784530387,0.20454877724614567
sens90:PPV,0.4232209737827715,0.3632868422194265,0.48221692629621016
sens90:NPV,0.6923076923076923,0.5384615384615384,0.8298758865248226
spec80:Accuracy,0.5816993464052288,0.5261437908496732,0.6372549019607843
spec80:F1,0.3402061855670103,0.25,0.42397726284670895
spec80:MCC,0.07657900770157867,-0.038313077138767235,0.19485215319798785
spec80:Sensitivity,0.264,0.1858338655232187,0.33871300986403624
spec80:Specificity,0.8011049723756906,0.7409121512836275,0.8604686398872445
spec80:PPV,0.4782608695652174,0.34918831168831166,0.5970149253731343
spec80:NPV,0.6118143459915611,0.5499429460580914,0.6747037532847439
spec90:Accuracy,0.6045751633986928,0.5490196078431373,0.6568627450980392
spec90:F1,0.2484472049689441,0.15685683912119064,0.33708191795139797
spec90:MCC,0.1092414832261928,-0.0037259075942011662,0.22029688129809138
spec90:Sensitivity,0.16,0.0984817436661699,0.22582535282258062
spec90:Specificity,0.9116022099447514,0.8662701377159933,0.9518088396366213
spec90:PPV,0.5555555555555556,0.3927579365079365,0.7272727272727273
spec90:NPV,0.6111111111111112,0.552624453733612,0.6678842445944085
