,Val,LB,UB
AUROC,0.5338342541436465,0.46459227680127785,0.6037960282341033
AUPRC,0.4602225907429777,0.3789618670045674,0.5562617611946459
min-distance-to-perfect:Accuracy,0.5163398692810458,0.45751633986928103,0.5751633986928104
min-distance-to-perfect:F1,0.5163398692810458,0.4482577767060526,0.5827824726770405
min-distance-to-perfect:MCC,0.06846408839779006,-0.04718569029929519,0.1872831178760677
min-distance-to-perfect:Sensitivity,0.632,0.5483678955453148,0.7181902356902357
min-distance-to-perfect:Specificity,0.43646408839779005,0.36212450155073106,0.505265987549519
min-distance-to-perfect:PPV,0.43646408839779005,0.3641025641025641,0.5085739058629232
min-distance-to-perfect:NPV,0.632,0.5371375235609686,0.7232233594657375
Youden:Accuracy,0.6078431372549019,0.5490196078431373,0.6634803921568626
Youden:F1,0.34782608695652173,0.2545036572622779,0.43386243386243384
Youden:MCC,0.13310913892428225,0.018355091741233124,0.25120132179043714
Youden:Sensitivity,0.256,0.1796655111754967,0.3333333333333333
Youden:Specificity,0.850828729281768,0.7955801104972375,0.8983176957223568
Youden:PPV,0.5423728813559322,0.4061814692982456,0.6666666666666666
Youden:NPV,0.6234817813765182,0.5604838709677419,0.6857524985302763
sens80:Accuracy,0.4738562091503268,0.4150326797385621,0.5326797385620915
sens80:F1,0.5564738292011019,0.4916177445317678,0.616580310880829
sens80:MCC,0.06041163715468693,-0.06065318707146888,0.17054674658604596
sens80:Sensitivity,0.808,0.738452380952381,0.8730392156862745
sens80:Specificity,0.2430939226519337,0.18180640602920395,0.30939226519337015
sens80:PPV,0.42436974789915966,0.359504132231405,0.4874027069844331
sens80:NPV,0.6470588235294118,0.5230434782608696,0.757617845117845
sens90:Accuracy,0.4084967320261438,0.3464052287581699,0.46078431372549017
sens90:F1,0.5552825552825553,0.49369992739669816,0.6089250419386449
sens90:MCC,-0.054305623470931555,-0.174294632093643,0.05965247111351856
sens90:Sensitivity,0.904,0.8521061554512258,0.952731288981289
sens90:Specificity,0.06629834254143646,0.029577147998200628,0.10429700667430727
sens90:PPV,0.40070921985815605,0.3414393740711601,0.4559085150914298
sens90:NPV,0.5,0.2777777777777778,0.7037581699346405
spec80:Accuracy,0.6045751633986928,0.5490196078431373,0.6601307189542484
spec80:F1,0.33879781420765026,0.24579383672733826,0.4272000415347074
spec80:MCC,0.12394747047108864,0.005284157073452029,0.24120328682147352
spec80:Sensitivity,0.248,0.17178166482300886,0.3257994770716009
spec80:Specificity,0.850828729281768,0.7955801104972375,0.8983176957223568
spec80:PPV,0.5344827586206896,0.3934279859484777,0.6607142857142857
spec80:NPV,0.6209677419354839,0.5586712683347714,0.6825493612078978
spec90:Accuracy,0.6013071895424836,0.5424836601307189,0.6568627450980392
spec90:F1,0.25609756097560976,0.16249155405405405,0.3419758388517913
spec90:MCC,0.10104842987305002,-0.015719027953005064,0.21259402336177943
spec90:Sensitivity,0.168,0.10256410256410256,0.23809523809523808
spec90:Specificity,0.9005524861878453,0.8556149732620321,0.9405405405405406
spec90:PPV,0.5384615384615384,0.37142857142857144,0.6923469387755101
spec90:NPV,0.6104868913857678,0.5497919152123852,0.6714339019189765
