,Val,LB,UB
AUROC,0.5501878453038674,0.48360153549310964,0.6152564216427936
AUPRC,0.47265391733000206,0.39117712952046974,0.566910011299852
min-distance-to-perfect:Accuracy,0.565359477124183,0.5098039215686274,0.6209150326797386
min-distance-to-perfect:F1,0.5055762081784386,0.4280021979980396,0.5762973964703827
min-distance-to-perfect:MCC,0.1222261286277898,0.013235383869953925,0.2368126636264363
min-distance-to-perfect:Sensitivity,0.544,0.4575864406779661,0.6299519168710468
min-distance-to-perfect:Specificity,0.580110497237569,0.5055473604921223,0.6568047337278107
min-distance-to-perfect:PPV,0.4722222222222222,0.38730751173708916,0.554131274131274
min-distance-to-perfect:NPV,0.6481481481481481,0.5741935483870968,0.7205116829340432
Youden:Accuracy,0.565359477124183,0.5098039215686274,0.6209150326797386
Youden:F1,0.5055762081784386,0.4280021979980396,0.5762973964703827
Youden:MCC,0.1222261286277898,0.013235383869953925,0.2368126636264363
Youden:Sensitivity,0.544,0.4575864406779661,0.6299519168710468
Youden:Specificity,0.580110497237569,0.5055473604921223,0.6568047337278107
Youden:PPV,0.4722222222222222,0.38730751173708916,0.554131274131274
Youden:NPV,0.6481481481481481,0.5741935483870968,0.7205116829340432
sens80:Accuracy,0.45751633986928103,0.4019607843137255,0.5163398692810458
sens80:F1,0.5513513513513514,0.48553615312727144,0.610101737642928
sens80:MCC,0.0319224229663265,-0.07744495220598087,0.13773119069998063
sens80:Sensitivity,0.816,0.7520644628099175,0.8750228102189781
sens80:Specificity,0.20994475138121546,0.15463033873343152,0.2690625182332691
sens80:PPV,0.4163265306122449,0.35267966804979256,0.4807831950207469
sens80:NPV,0.6229508196721312,0.507686567164179,0.7368421052631579
sens90:Accuracy,0.4150326797385621,0.35947712418300654,0.4738562091503268
sens90:F1,0.5580246913580247,0.4934365797113557,0.6179526055705301
sens90:MCC,-0.032881564071419886,-0.14562260622925416,0.08118012369146793
sens90:Sensitivity,0.904,0.8545279720279719,0.9514041666666666
sens90:Specificity,0.07734806629834254,0.040224137931034486,0.11932923924877517
sens90:PPV,0.4035714285714286,0.34285714285714286,0.4645452502247528
sens90:NPV,0.5384615384615384,0.34782608695652173,0.7272727272727273
spec80:Accuracy,0.5718954248366013,0.5130718954248366,0.630718954248366
spec80:F1,0.30687830687830686,0.21621621621621623,0.3886321748288573
spec80:MCC,0.04668952640764348,-0.0636717481980696,0.1601266865690047
spec80:Sensitivity,0.232,0.15965456979251877,0.3070192706174886
spec80:Specificity,0.8066298342541437,0.7484701944425756,0.865931497027455
spec80:PPV,0.453125,0.3283459750428187,0.5715367965367965
spec80:NPV,0.6033057851239669,0.5390946502057613,0.6680021276595745
spec90:Accuracy,0.5947712418300654,0.5392156862745098,0.6503267973856209
spec90:F1,0.2345679012345679,0.14597815052931792,0.3195741758241758
spec90:MCC,0.07923381345454217,-0.02945704686531195,0.19008319217889544
spec90:Sensitivity,0.152,0.08941734417344174,0.2160054054054054
spec90:Specificity,0.9005524861878453,0.8529366654637315,0.9444529652351737
spec90:PPV,0.5135135135135135,0.34994565217391305,0.6785714285714286
spec90:NPV,0.6059479553903345,0.5465105472464771,0.6666666666666666
