,Val,LB,UB
AUROC,0.5666519337016576,0.4978935322898321,0.6315402137744851
AUPRC,0.4680861915065014,0.39330001342730414,0.5614779362301374
min-distance-to-perfect:Accuracy,0.5620915032679739,0.5032679738562091,0.6176470588235294
min-distance-to-perfect:F1,0.5144927536231884,0.44029850746268656,0.582788191716242
min-distance-to-perfect:MCC,0.12389352244298193,0.011926153820111779,0.23730179726248074
min-distance-to-perfect:Sensitivity,0.568,0.47965771674523466,0.6535581078680954
min-distance-to-perfect:Specificity,0.5580110497237569,0.4835164835164835,0.6284456587735276
min-distance-to-perfect:PPV,0.47019867549668876,0.3872927438045997,0.5471848335536594
min-distance-to-perfect:NPV,0.6516129032258065,0.5753107559614409,0.7246619830328738
Youden:Accuracy,0.6143790849673203,0.5555555555555556,0.6666666666666666
Youden:F1,0.3854166666666667,0.2904982879798162,0.4682996515679443
Youden:MCC,0.15482799511091655,0.03578232433774674,0.2598468266083503
Youden:Sensitivity,0.296,0.2131018458758229,0.3760703363914373
Youden:Specificity,0.8342541436464088,0.7784090909090909,0.8861473106770137
Youden:PPV,0.5522388059701493,0.4285128805620609,0.6666666666666666
Youden:NPV,0.6317991631799164,0.5701965772432933,0.6938775510204082
sens80:Accuracy,0.4803921568627451,0.4215686274509804,0.5359477124183006
sens80:F1,0.5595567867036011,0.4914209636517329,0.619584108346896
sens80:MCC,0.07272538101817705,-0.044464423684093646,0.1825833015691609
sens80:Sensitivity,0.808,0.7322690608795852,0.8769298245614034
sens80:Specificity,0.2541436464088398,0.19230225988700567,0.3139698197021165
sens80:PPV,0.4279661016949153,0.3632448088405668,0.4895522512460618
sens80:NPV,0.6571428571428571,0.5333333333333333,0.7656402191558441
sens90:Accuracy,0.4477124183006536,0.39215686274509803,0.5032679738562091
sens90:F1,0.5764411027568922,0.5142592592592592,0.6326216545012165
sens90:MCC,0.06673955231258463,-0.03951369346880515,0.173430869208389
sens90:Sensitivity,0.92,0.8666666666666667,0.9677483870967742
sens90:Specificity,0.12154696132596685,0.07646965155488948,0.17098791942589564
sens90:PPV,0.4197080291970803,0.35998148148148146,0.4779889840551605
sens90:NPV,0.6875,0.5161290322580645,0.8519841269841268
spec80:Accuracy,0.5947712418300654,0.5359477124183006,0.6503267973856209
spec80:F1,0.37373737373737376,0.27930513160168174,0.4528301886792453
spec80:MCC,0.11199441676338857,-0.008831176318643467,0.22343791707334168
spec80:Sensitivity,0.296,0.2131018458758229,0.3760703363914373
spec80:Specificity,0.8011049723756906,0.7400997528248587,0.8594594594594595
spec80:PPV,0.5068493150684932,0.3880356283100626,0.6153846153846154
spec80:NPV,0.6223175965665236,0.560340356274145,0.683994227994228
spec90:Accuracy,0.5915032679738562,0.5359477124183006,0.6470588235294118
spec90:F1,0.2236024844720497,0.13155744754041968,0.30590400577408877
spec90:MCC,0.0679724784518533,-0.04931963370256616,0.1837122829179245
spec90:Sensitivity,0.144,0.08328252032520325,0.20635576544667453
spec90:Specificity,0.9005524861878453,0.8579342532467532,0.9424195961106956
spec90:PPV,0.5,0.3333333333333333,0.6666666666666666
spec90:NPV,0.6037037037037037,0.5454375848032564,0.6641797929173322
