,Val,LB,UB
AUROC,0.5604419889502762,0.49108032165583654,0.6268278264710734
AUPRC,0.442210483127673,0.37314569716019486,0.5269461448900835
min-distance-to-perfect:Accuracy,0.5686274509803921,0.5130718954248366,0.6241830065359477
min-distance-to-perfect:F1,0.5251798561151079,0.44926020829889235,0.5936450029546907
min-distance-to-perfect:MCC,0.13961272401605207,0.02994148209309687,0.2520005833331882
min-distance-to-perfect:Sensitivity,0.584,0.4962855831037649,0.6695425584560187
min-distance-to-perfect:Specificity,0.5580110497237569,0.48312325329378886,0.6257486388384755
min-distance-to-perfect:PPV,0.477124183006536,0.39644699812382744,0.5526315789473685
min-distance-to-perfect:NPV,0.6601307189542484,0.5779150197628459,0.7368923902111967
Youden:Accuracy,0.5522875816993464,0.4934640522875817,0.6078431372549019
Youden:F1,0.5537459283387622,0.4827417724362575,0.6144680071637902
Youden:MCC,0.14427024508034653,0.030200473327039366,0.25912764847250236
Youden:Sensitivity,0.68,0.5931975228161669,0.7583564814814814
Youden:Specificity,0.46408839779005523,0.3892132401862941,0.5326532666206579
Youden:PPV,0.46703296703296704,0.3930537481463548,0.5340644666560896
Youden:NPV,0.6774193548387096,0.5847271186440678,0.7563343519225871
sens80:Accuracy,0.4738562091503268,0.4150326797385621,0.5294934640522875
sens80:F1,0.5564738292011019,0.4898848071754687,0.6178031754139531
sens80:MCC,0.06041163715468693,-0.0619833179224895,0.16759419711269474
sens80:Sensitivity,0.808,0.7363368983957219,0.873156363850041
sens80:Specificity,0.2430939226519337,0.18180640602920395,0.30726256983240224
sens80:PPV,0.42436974789915966,0.359504132231405,0.48760834509171536
sens80:NPV,0.6470588235294118,0.5205089301196463,0.759568829113924
sens90:Accuracy,0.4444444444444444,0.38562091503267976,0.5
sens90:F1,0.5728643216080402,0.5130890052356021,0.6285819585819585
sens90:MCC,0.053162964280146684,-0.061508695189383115,0.15373866634238545
sens90:Sensitivity,0.912,0.8596454980426272,0.9576447740112994
sens90:Specificity,0.12154696132596685,0.07511248686284815,0.16928176795580108
sens90:PPV,0.4175824175824176,0.3594122311619991,0.4760277485446334
sens90:NPV,0.6666666666666666,0.4856084656084656,0.8214810924369748
spec80:Accuracy,0.565359477124183,0.5065359477124183,0.6209150326797386
spec80:F1,0.2887700534759358,0.1947999297999298,0.3673469387755102
spec80:MCC,0.02767482664361605,-0.09344314185764685,0.13582661780215652
spec80:Sensitivity,0.216,0.1417895757433306,0.2845528455284553
spec80:Specificity,0.8066298342541437,0.7498986486486486,0.8612868457190304
spec80:PPV,0.43548387096774194,0.3050847457627119,0.5469017551369862
spec80:NPV,0.5983606557377049,0.5333333333333333,0.6626028504260946
spec90:Accuracy,0.565359477124183,0.5065359477124183,0.6209150326797386
spec90:F1,0.10738255033557047,0.0422461341475426,0.1772434088526969
spec90:MCC,-0.0446081907082652,-0.15233039860222958,0.0624806252805735
spec90:Sensitivity,0.064,0.025423728813559324,0.10937785127737226
spec90:Specificity,0.9116022099447514,0.8702583051801802,0.95
spec90:PPV,0.3333333333333333,0.14285714285714285,0.5294117647058824
spec90:NPV,0.5851063829787234,0.5263066836641778,0.6456343984962406
