,Val,LB,UB
AUROC,0.5589171270718232,0.4935154286660567,0.6214866537783205
AUPRC,0.4973101207828241,0.41026614565752545,0.5903827925429878
min-distance-to-perfect:Accuracy,0.5522875816993464,0.49673202614379086,0.6046568627450979
min-distance-to-perfect:F1,0.4981684981684982,0.42187357954545457,0.5655207244862417
min-distance-to-perfect:MCC,0.10034185127747676,-0.009397348845689175,0.20832489150580003
min-distance-to-perfect:Sensitivity,0.544,0.453125,0.627791827116501
min-distance-to-perfect:Specificity,0.5580110497237569,0.4812679114840311,0.6270318247241324
min-distance-to-perfect:PPV,0.4594594594594595,0.37341326439650563,0.538987012987013
min-distance-to-perfect:NPV,0.6392405063291139,0.5624697580645162,0.7086359752189703
Youden:Accuracy,0.5686274509803921,0.5098039215686274,0.6241830065359477
Youden:F1,0.4634146341463415,0.3848971408647141,0.5390690835674157
Youden:MCC,0.10295636253945471,-0.011870376513364778,0.21424133063933945
Youden:Sensitivity,0.456,0.36288576327152655,0.531798245614035
Youden:Specificity,0.6464088397790055,0.572183682373473,0.7142857142857143
Youden:PPV,0.47107438016528924,0.3792615484710475,0.5631164278008938
Youden:NPV,0.6324324324324324,0.5603950518754988,0.6973007623007623
sens80:Accuracy,0.4673202614379085,0.4117647058823529,0.5228758169934641
sens80:F1,0.5534246575342465,0.4874891175306688,0.6154046997389034
sens80:MCC,0.047858195021733975,-0.07030270324365702,0.15298678444192745
sens80:Sensitivity,0.808,0.7368210526315789,0.8728876802428536
sens80:Specificity,0.23204419889502761,0.16664438502673795,0.2888921001926782
sens80:PPV,0.42083333333333334,0.3571211683053788,0.48740016667824154
sens80:NPV,0.6363636363636364,0.5081967213114754,0.7419477028347996
sens90:Accuracy,0.4673202614379085,0.4117647058823529,0.5229575163398692
sens90:F1,0.5809768637532133,0.5210344458707744,0.6368224153384513
sens90:MCC,0.09962907457433365,-0.010629686177786117,0.20261865394326045
sens90:Sensitivity,0.904,0.8508552631578947,0.9508296681327468
sens90:Specificity,0.16574585635359115,0.1092896174863388,0.21951889573840794
sens90:PPV,0.42803030303030304,0.36841126981021327,0.48846374045801527
sens90:NPV,0.7142857142857143,0.5641025641025641,0.8461538461538461
spec80:Accuracy,0.5849673202614379,0.5293300653594771,0.6405228758169934
spec80:F1,0.3487179487179487,0.25987631699496105,0.4278947727117835
spec80:MCC,0.08555318648937756,-0.029231118992673347,0.1974921286875786
spec80:Sensitivity,0.272,0.1940178141550313,0.3453372640233678
spec80:Specificity,0.8011049723756906,0.7391243961352657,0.8594642010431484
spec80:PPV,0.4857142857142857,0.367610811930406,0.6032360831656606
spec80:NPV,0.614406779661017,0.5536461526670754,0.6725910553645872
spec90:Accuracy,0.6045751633986928,0.5522875816993464,0.6568627450980392
spec90:F1,0.25766871165644173,0.16898034916083327,0.34523809523809523
spec90:MCC,0.11041308005913847,-0.005695313496757887,0.23184882328305667
spec90:Sensitivity,0.168,0.10524027459954233,0.23389540566959918
spec90:Specificity,0.9060773480662984,0.864304476930105,0.9481887618366983
spec90:PPV,0.5526315789473685,0.3829630788485607,0.7241594827586206
spec90:NPV,0.6119402985074627,0.5551330798479087,0.6703571428571428
