,Val,LB,UB
AUROC,0.5345193370165746,0.4687071607686046,0.6015235491575146
AUPRC,0.4480438808051165,0.376787467327132,0.5336478971772423
min-distance-to-perfect:Accuracy,0.5392156862745098,0.4803921568627451,0.5947712418300654
min-distance-to-perfect:F1,0.4679245283018868,0.39381289955060444,0.5384615384615384
min-distance-to-perfect:MCC,0.06419415022180354,-0.0523468153541539,0.17359771845284505
min-distance-to-perfect:Sensitivity,0.496,0.41025641025641024,0.5812666666666666
min-distance-to-perfect:Specificity,0.569060773480663,0.4918896765618077,0.638324032089292
min-distance-to-perfect:PPV,0.44285714285714284,0.36230342275670674,0.5251913853532558
min-distance-to-perfect:NPV,0.6204819277108434,0.5393821448013065,0.6923312883435583
Youden:Accuracy,0.4934640522875817,0.43790849673202614,0.5458333333333332
Youden:F1,0.5706371191135734,0.5043453627294001,0.6263254696687222
Youden:MCC,0.10438109451968797,-0.0028394187560216565,0.20613387148623716
Youden:Sensitivity,0.824,0.7596826368246197,0.8889143730886849
Youden:Specificity,0.26519337016574585,0.2011206896551724,0.3315953654188948
Youden:PPV,0.4364406779661017,0.37176724137931033,0.49594854280510015
Youden:NPV,0.6857142857142857,0.5714285714285714,0.7922301836094939
sens80:Accuracy,0.4934640522875817,0.43790849673202614,0.5458333333333332
sens80:F1,0.5706371191135734,0.5043453627294001,0.6263254696687222
sens80:MCC,0.10438109451968797,-0.0028394187560216565,0.20613387148623716
sens80:Sensitivity,0.824,0.7596826368246197,0.8889143730886849
sens80:Specificity,0.26519337016574585,0.2011206896551724,0.3315953654188948
sens80:PPV,0.4364406779661017,0.37176724137931033,0.49594854280510015
sens80:NPV,0.6857142857142857,0.5714285714285714,0.7922301836094939
sens90:Accuracy,0.4215686274509804,0.3660130718954248,0.47720588235294115
sens90:F1,0.5607940446650124,0.5025374333596918,0.6182692416477163
sens90:MCC,-0.012960827764195841,-0.11834061808344928,0.09888058309880082
sens90:Sensitivity,0.904,0.8515625,0.952755905511811
sens90:Specificity,0.08839779005524862,0.049993093922651936,0.1314362703165098
sens90:PPV,0.4064748201438849,0.3484091976178121,0.46545454545454545
sens90:NPV,0.5714285714285714,0.38461538461538464,0.7502155172413791
spec80:Accuracy,0.5784313725490197,0.5228758169934641,0.630718954248366
spec80:F1,0.3316062176165803,0.24739474887004217,0.4109720128465622
spec80:MCC,0.06751888858465009,-0.04499588012619231,0.17784544249751083
spec80:Sensitivity,0.256,0.18515555555555555,0.3306467487934976
spec80:Specificity,0.8011049723756906,0.7405405405405405,0.8617156969170646
spec80:PPV,0.47058823529411764,0.35934124228395065,0.5857266009852217
spec80:NPV,0.6092436974789915,0.5476812839307584,0.6707844975777466
spec90:Accuracy,0.5686274509803921,0.5098039215686274,0.6242647058823528
spec90:F1,0.13157894736842105,0.05837315549020637,0.2077922077922078
spec90:MCC,-0.024128608462396055,-0.1320470278618212,0.08982246169340184
spec90:Sensitivity,0.08,0.033891183592080903,0.13008130081300814
spec90:Specificity,0.9060773480662984,0.8631397939292677,0.9470969089390142
spec90:PPV,0.37037037037037035,0.19047619047619047,0.5601304347826086
spec90:NPV,0.5878136200716846,0.5274577572964669,0.646214865910263
