,Val,LB,UB
AUROC,0.5343204419889502,0.4603770825948245,0.6027553112107833
AUPRC,0.43869491465863947,0.36823560762509167,0.5336816629065879
min-distance-to-perfect:Accuracy,0.5555555555555556,0.49673202614379086,0.6111111111111112
min-distance-to-perfect:F1,0.4925373134328358,0.41242814366463304,0.5642900696864112
min-distance-to-perfect:MCC,0.10106924595518059,-0.01570307960990592,0.21257107976884515
min-distance-to-perfect:Sensitivity,0.528,0.4384375,0.6183387858960379
min-distance-to-perfect:Specificity,0.574585635359116,0.49993386243386245,0.6517090479006505
min-distance-to-perfect:PPV,0.46153846153846156,0.3767898005884276,0.5454694976076554
min-distance-to-perfect:NPV,0.6380368098159509,0.5575731452455591,0.7069070647603027
Youden:Accuracy,0.5718954248366013,0.5130718954248366,0.6274509803921569
Youden:F1,0.46530612244897956,0.38390482522796354,0.5462555066079295
Youden:MCC,0.10866864968000527,-0.009127026501582092,0.22238876047241357
Youden:Sensitivity,0.456,0.3628886161757831,0.5462204326174914
Youden:Specificity,0.6519337016574586,0.5828182704523296,0.7230882352941176
Youden:PPV,0.475,0.38015728105580116,0.5692543859649123
Youden:NPV,0.6344086021505376,0.5621358858858859,0.7031544018817204
sens80:Accuracy,0.45098039215686275,0.3954248366013072,0.5032679738562091
sens80:F1,0.5459459459459459,0.4806406284929582,0.6025974025974026
sens80:MCC,0.015281432459178441,-0.10644260200637244,0.12465041445475833
sens80:Sensitivity,0.808,0.7307692307692307,0.8731528169961005
sens80:Specificity,0.20441988950276244,0.14705466932535727,0.26285787923416787
sens80:PPV,0.4122448979591837,0.34901752190237795,0.4715447154471545
sens80:NPV,0.6065573770491803,0.47455396966993757,0.7285863095238094
sens90:Accuracy,0.4117647058823529,0.35294117647058826,0.46413398692810454
sens90:F1,0.5609756097560976,0.5,0.6154028436018958
sens90:MCC,-0.03738203034099056,-0.15203744897985771,0.07893291143977509
sens90:Sensitivity,0.92,0.8699015009380863,0.9640508645715007
sens90:Specificity,0.06077348066298342,0.02840111082737487,0.09885165918672649
sens90:PPV,0.40350877192982454,0.3452871387100846,0.45884351809783425
sens90:NPV,0.5238095238095238,0.3123798076923077,0.75
spec80:Accuracy,0.5555555555555556,0.5,0.6143790849673203
spec80:F1,0.26881720430107525,0.1827956989247312,0.3516666666666667
spec80:MCC,0.0013595580479696123,-0.11509621853674937,0.11712671397663682
spec80:Sensitivity,0.2,0.13177784577723378,0.2741062801932367
spec80:Specificity,0.8011049723756906,0.7411381830838845,0.8603474341991592
spec80:PPV,0.4098360655737705,0.2833254716981132,0.5362520128824477
spec80:NPV,0.5918367346938775,0.5282091376682753,0.6528967785461293
spec90:Accuracy,0.5849673202614379,0.5261437908496732,0.6405228758169934
spec90:F1,0.20125786163522014,0.11903195488721804,0.28275122445532846
spec90:MCC,0.044659546998615504,-0.06647569344534084,0.1602796845674949
spec90:Sensitivity,0.128,0.0731559795436664,0.1880577427821522
spec90:Specificity,0.9005524861878453,0.8540540540540541,0.9405564387917329
spec90:PPV,0.47058823529411764,0.3029545454545455,0.6428571428571429
spec90:NPV,0.5992647058823529,0.5401181721976501,0.6591821364598599
