Name,Coef
clDelta_Power_db,0.3700842717670236
nPeaksTotalFound,0.22783717650318855
osAlpha_Power,0.1667275860425124
osAlpha_Prev,0.1158460749069242
Higuchi_FD,0.11215150664640382
num_zerocross,0.09480339652572468
MI_Intra,0.07272685899114961
wPLI_Intra,0.057606480137303684
osAlpha_BW,0.0
DispEntropy,0.0
Coh_Intra,0.0
Coh_Inter,0.0
DFA,0.0
clAlpha_Power_db,0.0
clBeta_Power_db,0.0
LZc,0.0
PermEntropy,0.0
clTheta_Power_db,0.0
Total_Power_db,0.0
Offset,0.0
MI_Inter,-0.07165510606115386
error,-0.10082190656852957
Slope,-0.10552887337512792
osAlpha_freq,-0.1638705043073819
wPLI_Inter,-0.17205559475042245
h_complexity,-0.2375372148136157
