,Val,LB,UB
SpearmanR,0.10084016082520715,-0.0015761780622651086,0.20559050434596038
CIndex,0.4199935711989714,0.3868488160291439,0.4582036858459231
RMSE,2.5230959299827314,2.3632362576050387,2.697205605297771
MAE,2.045751633986928,1.8822712418300653,2.2092320261437908
WRMSE,2.6647740979068932,2.4825721158418816,2.8367107088909402
WMAE,2.180738763462933,2.0024419936273232,2.34274597067344
Acc0,0.1503267973856209,0.10784313725490197,0.1895424836601307
Acc1,0.39869281045751637,0.3464052287581699,0.4542483660130719
Acc2,0.6666666666666666,0.6143790849673203,0.7189542483660131
Acc3,0.826797385620915,0.7843137254901961,0.8660130718954249
