,Val,LB,UB
SpearmanR,0.07692278716495307,-0.04579664224879108,0.19000547939239618
CIndex,0.3977927783135112,0.360264116575592,0.43781849351762564
RMSE,2.393482435685426,2.216231710196814,2.5674718144863244
MAE,1.8986928104575163,1.738562091503268,2.065359477124183
WRMSE,2.5920663074341803,2.422179596225357,2.769882289393138
WMAE,2.0963795618027357,1.9494151643147968,2.257407206467797
Acc0,0.16339869281045752,0.12418300653594772,0.20588235294117646
Acc1,0.4738562091503268,0.42148692810457516,0.5294117647058824
Acc2,0.6928104575163399,0.6437091503267974,0.7418300653594772
Acc3,0.8431372549019608,0.8006535947712419,0.8856209150326797
