,Val,LB,UB
SpearmanR,0.0810633998264131,-0.03661474731819493,0.19655265522234763
CIndex,0.40060002142933676,0.3656246651666131,0.4411111111111111
RMSE,2.3900665891672546,2.2103255874104324,2.5699368014405906
MAE,1.9215686274509804,1.7549019607843137,2.081781045751634
WRMSE,2.609685677307887,2.440236622432853,2.7862740185575836
WMAE,2.134303646591875,1.981710601011359,2.2956630077783347
Acc0,0.14052287581699346,0.10457516339869281,0.17973856209150327
Acc1,0.4673202614379085,0.4117647058823529,0.5228758169934641
Acc2,0.6862745098039216,0.6339869281045751,0.738562091503268
Acc3,0.8562091503267973,0.8137254901960784,0.8954248366013072
