,Val,LB,UB
SpearmanR,0.17626271718859468,0.05896003263329497,0.2766909987834924
CIndex,0.3815707703846566,0.34532572591878286,0.4205785920925747
RMSE,3.6281398392027913,3.423653702231795,3.836550225055961
MAE,3.0588235294117645,2.8562091503267975,3.281045751633987
WRMSE,3.5792795378063724,3.354526360400244,3.8096876221289993
WMAE,2.8845552196083997,2.647463742114001,3.1384771572061783
Acc0,0.10784313725490197,0.07516339869281045,0.14052287581699346
Acc1,0.26143790849673204,0.21241830065359477,0.30718954248366015
Acc2,0.4150326797385621,0.35947712418300654,0.4673202614379085
Acc3,0.5686274509803921,0.5130718954248366,0.6241830065359477
