,Val,LB,UB
SpearmanR,0.2074941347043768,0.09717654256921218,0.3091705728013338
CIndex,0.45918782813671916,0.42271938283510124,0.49772795456980606
RMSE,2.730845352609569,2.539861941665264,2.918892687029892
MAE,2.1633986928104574,1.9869281045751634,2.3562091503267975
WRMSE,2.867982035187589,2.66113627966104,3.082621278517076
WMAE,2.269259472449075,2.072979622642704,2.48740375890406
Acc0,0.17973856209150327,0.13398692810457516,0.2222222222222222
Acc1,0.4117647058823529,0.3562091503267974,0.4673202614379085
Acc2,0.6111111111111112,0.5555555555555556,0.6602124183006535
Acc3,0.7810457516339869,0.7320261437908496,0.8235294117647058
