,Val,LB,UB
SpearmanR,0.18030268225738008,0.059488760529891486,0.2893536637525172
CIndex,0.4562305796635594,0.4154644808743169,0.4967614914818386
RMSE,2.656229575084871,2.4534556040768667,2.857923619504523
MAE,2.1143790849673203,1.9379084967320261,2.3007352941176467
WRMSE,2.8158562598580392,2.6030104506825875,3.0283836469696266
WMAE,2.2568900151888798,2.068026801915642,2.462118341061313
Acc0,0.12091503267973856,0.08496732026143791,0.1568627450980392
Acc1,0.46078431372549017,0.4019607843137255,0.5196078431372549
Acc2,0.6503267973856209,0.5915032679738562,0.7026143790849673
Acc3,0.7941176470588235,0.7450980392156863,0.8398692810457516
