,Val,LB,UB
SpearmanR,0.2068693590754786,0.09787363779399261,0.3137132209164033
CIndex,0.4619522125790207,0.42524268723882996,0.5000133933354762
RMSE,2.5373033907540554,2.333998494385675,2.727851988394575
MAE,1.973856209150327,1.7941176470588236,2.150408496732026
WRMSE,2.6925332792108154,2.4697641255457685,2.912991333194766
WMAE,2.1029285215024145,1.8994395328575355,2.3049466487629906
Acc0,0.16666666666666666,0.12745098039215685,0.20915032679738563
Acc1,0.4803921568627451,0.4215686274509804,0.5392156862745098
Acc2,0.6797385620915033,0.6274509803921569,0.7320261437908496
Acc3,0.826797385620915,0.7810457516339869,0.869281045751634
