,Val,LB,UB
SpearmanR,0.13589806102177274,0.018627894791415616,0.24461497584713665
CIndex,0.42256509161041467,0.3868573877638487,0.460930568948891
RMSE,2.388014735943848,2.2051447538211866,2.5533682720093664
MAE,1.9183006535947713,1.7549019607843137,2.0751633986928106
WRMSE,2.586763204827082,2.4019837296085007,2.755993332157802
WMAE,2.1087381125044145,1.9498853371607483,2.2767775941115214
Acc0,0.14052287581699346,0.10130718954248366,0.1798202614379084
Acc1,0.46078431372549017,0.4019607843137255,0.5163398692810458
Acc2,0.6895424836601307,0.6372549019607843,0.7418300653594772
Acc3,0.8725490196078431,0.8366013071895425,0.9084967320261438
