,Val,LB,UB
SpearmanR,0.10039563502634982,-0.01127245804807875,0.2096764733080104
CIndex,0.414957677059895,0.3796892746169506,0.45273920497160614
RMSE,2.5048971643405977,2.3122118236086284,2.6880271940734586
MAE,1.9934640522875817,1.8234477124183006,2.1601307189542482
WRMSE,2.6926163093307083,2.49752093955361,2.8891540155453455
WMAE,2.157462791309761,1.9813932528688531,2.3384598798286613
Acc0,0.16013071895424835,0.12091503267973856,0.20261437908496732
Acc1,0.4444444444444444,0.3888888888888889,0.5
Acc2,0.6535947712418301,0.5980392156862745,0.7058823529411765
Acc3,0.8464052287581699,0.8071895424836601,0.8856209150326797
