,Val,LB,UB
SpearmanR,0.08272067393615251,-0.03332277772816957,0.1937870332493996
CIndex,0.41105753776920606,0.37466141647915996,0.450983070823958
RMSE,2.461467759165609,2.291608722848591,2.623423896585619
MAE,1.9542483660130718,1.7843137254901962,2.1242647058823527
WRMSE,2.5930540229043775,2.4195632019793045,2.770163468378542
WMAE,2.0944937542514888,1.9368040502769306,2.2728895507515112
Acc0,0.19607843137254902,0.15359477124183007,0.238562091503268
Acc1,0.434640522875817,0.3790849673202614,0.49019607843137253
Acc2,0.6535947712418301,0.5980392156862745,0.7058823529411765
Acc3,0.8202614379084967,0.7745098039215687,0.8627450980392157
