,Val,LB,UB
SpearmanR,0.014965757013183457,-0.09916898113680903,0.12199159274337783
CIndex,0.3825779492124719,0.34786188792456874,0.42012214721954355
RMSE,2.504244762411486,2.33121402096653,2.678314017586115
MAE,2.049019607843137,1.8888071895424836,2.2125
WRMSE,2.7041026529077636,2.525785725834417,2.89402267300081
WMAE,2.2402237130334037,2.081529025516245,2.4075662445688883
Acc0,0.12418300653594772,0.0915032679738562,0.16013071895424835
Acc1,0.41830065359477125,0.35947712418300654,0.4738562091503268
Acc2,0.6535947712418301,0.5980392156862745,0.7058823529411765
Acc3,0.8333333333333334,0.7908496732026143,0.8758169934640523
