,Val,LB,UB
SpearmanR,0.027016926899295732,-0.08973766627677486,0.14015603272763064
CIndex,0.3875924140147862,0.3534828029572485,0.4271541840780028
RMSE,2.4996731812522803,2.3086934312457172,2.683844751505879
MAE,2.026143790849673,1.8593954248366014,2.189542483660131
WRMSE,2.7106584854272273,2.5152831670310256,2.898187399198089
WMAE,2.226290641399007,2.0658885697658684,2.393556137751508
Acc0,0.1503267973856209,0.11437908496732026,0.1895424836601307
Acc1,0.4019607843137255,0.34959150326797384,0.45751633986928103
Acc2,0.6568627450980392,0.6045751633986928,0.7124183006535948
Acc3,0.8496732026143791,0.803921568627451,0.8888888888888888
