,Val,LB,UB
SpearmanR,0.138801189169508,0.023231678611062394,0.24999803335769571
CIndex,0.3923068681024322,0.3565413050466088,0.4333258330654666
RMSE,3.5142101819063667,3.2849428721368374,3.7422903494357826
MAE,2.872549019607843,2.6371732026143793,3.111111111111111
WRMSE,3.596268069002477,3.3148567394295645,3.864889777180351
WMAE,2.855039253013338,2.580535036142387,3.149134223115198
Acc0,0.12418300653594772,0.08823529411764706,0.16013071895424835
Acc1,0.3202614379084967,0.2679738562091503,0.3758169934640523
Acc2,0.4673202614379085,0.4084967320261438,0.5261437908496732
Acc3,0.6209150326797386,0.565359477124183,0.6797385620915033
