,Val,LB,UB
SpearmanR,0.10464168765241527,-0.0049031921303996735,0.2021605396775099
CIndex,0.38958534233365477,0.3547937426336655,0.4274408014571949
RMSE,3.4725816807401038,3.269923823044147,3.6645046864338378
MAE,2.9019607843137254,2.7026143790849675,3.107843137254902
WRMSE,3.5146176250647296,3.2704013406396166,3.7596598421640155
WMAE,2.8336368121952473,2.5865956586117163,3.0997910936576067
Acc0,0.10457516339869281,0.06862745098039216,0.14052287581699346
Acc1,0.29411764705882354,0.24509803921568626,0.33986928104575165
Acc2,0.4444444444444444,0.3888888888888889,0.5
Acc3,0.6111111111111112,0.5555555555555556,0.6633986928104575
