,Val,LB,UB
SpearmanR,0.1585690064665395,0.04400239922985679,0.2614769722009934
CIndex,0.4296582020786457,0.39321386478088505,0.46540340726454515
RMSE,3.1987538423252966,2.9918189103214226,3.4071003994115516
MAE,2.630718954248366,2.418300653594771,2.849673202614379
WRMSE,3.2984281281533967,3.061465814860031,3.5473239496724487
WMAE,2.651229119629649,2.4071551383909506,2.905785876942773
Acc0,0.13398692810457516,0.09795751633986928,0.17320261437908496
Acc1,0.3202614379084967,0.2679738562091503,0.37254901960784315
Acc2,0.4934640522875817,0.43790849673202614,0.5490196078431373
Acc3,0.6928104575163399,0.6339052287581699,0.7450980392156863
