,Val,LB,UB
SpearmanR,0.11113780983942632,-0.010368491887117111,0.23097490999380513
CIndex,0.39751419693560486,0.3580568948891032,0.4417877424193721
RMSE,3.402709416413488,3.161760905910469,3.6304359628715677
MAE,2.7549019607843137,2.5163398692810457,2.996732026143791
WRMSE,3.549754982611702,3.2597673620671332,3.822329230263128
WMAE,2.810232849108994,2.5225470975271254,3.096627876790077
Acc0,0.11437908496732026,0.08169934640522876,0.15359477124183007
Acc1,0.3300653594771242,0.2777777777777778,0.38562091503267976
Acc2,0.5228758169934641,0.4673202614379085,0.5816993464052288
Acc3,0.6666666666666666,0.6111111111111112,0.7254901960784313
